|Run	|Epoch	|Trial	$TrialName	#Err	#SSE	#AvgSSE	#CosDiff
0	17	16	evt_9	1	0.3836	0.01534	0.9227
0	17	17	evt_8	0	0	0	0.9846
0	17	18	evt_2	0	0	0	0.973
0	17	19	evt_19	0	0	0	0.9355
0	17	20	evt_15	0	0	0	0.9653
0	17	21	evt_16	1	0.3035	0.01214	0.9334
0	17	22	evt_0	1	0.6912	0.02765	0.9075
0	17	23	evt_14	0	0	0	0.9443
0	18	0	evt_15	0	0	0	0.9679
0	18	1	evt_2	0	0	0	0.9683
0	18	2	evt_8	0	0	0	0.9789
0	18	3	evt_6	1	0.2601	0.0104	0.949
0	18	4	evt_4	1	0.3598	0.01439	0.9083
0	18	5	evt_1	0	0	0	0.9531
0	18	6	evt_18	0	0	0	0.9701
0	18	7	evt_22	0	0	0	0.9663
0	18	8	evt_0	1	0.6076	0.0243	0.9185
0	18	9	evt_14	0	0	0	0.9551
0	18	10	evt_5	0	0	0	0.9624
0	18	11	evt_23	1	0.2908	0.01163	0.9152
0	18	12	evt_17	0	0	0	0.986
0	18	13	evt_9	1	0.4208	0.01683	0.9266
0	18	14	evt_19	0	0	0	0.9465
0	18	15	evt_21	0	0	0	0.9695
0	18	16	evt_3	0	0	0	0.9441
0	18	17	evt_16	1	0.3738	0.01495	0.9301
0	18	18	evt_12	0	0	0	0.9983
0	18	19	evt_13	1	0.5813	0.02325	0.8246
0	18	20	evt_11	1	0.4019	0.01608	0.9049
0	18	21	evt_10	0	0	0	0.9477
0	18	22	evt_7	0	0	0	0.9787
0	18	23	evt_20	0	0	0	0.9584
0	19	0	evt_0	1	0.2797	0.01119	0.9598
0	19	1	evt_10	0	0	0	0.9681
0	19	2	evt_5	0	0	0	0.9746
0	19	3	evt_11	1	0.3651	0.0146	0.9238
0	19	4	evt_14	0	0	0	0.9584
0	19	5	evt_9	1	0.3654	0.01462	0.9367
0	19	6	evt_19	0	0	0	0.9656
0	19	7	evt_13	0	0	0	0.9433
0	19	8	evt_18	0	0	0	0.9768
0	19	9	evt_12	0	0	0	0.9987
0	19	10	evt_3	1	0.29	0.0116	0.9237
0	19	11	evt_6	0	0	0	0.9833
0	19	12	evt_2	0	0	0	0.9733
0	19	13	evt_8	0	0	0	0.9816
0	19	14	evt_23	1	0.2805	0.01122	0.9188
0	19	15	evt_7	0	0	0	0.9806
0	19	16	evt_22	1	0.2791	0.01116	0.9021
0	19	17	evt_21	0	0	0	0.9412
0	19	18	evt_1	0	0	0	0.9744
0	19	19	evt_16	1	0.3218	0.01287	0.936
0	19	20	evt_4	1	0.2834	0.01134	0.9192
0	19	21	evt_20	0	0	0	0.9752
0	19	22	evt_15	0	0	0	0.983
0	19	23	evt_17	0	0	0	0.9902
0	20	0	evt_17	0	0	0	0.9912
0	20	1	evt_1	0	0	0	0.9782
0	20	2	evt_4	0	0	0	0.9379
0	20	3	evt_5	0	0	0	0.9698
0	20	4	evt_15	0	0	0	0.976
0	20	5	evt_11	0	0	0	0.9292
0	20	6	evt_22	0	0	0	0.9439
0	20	7	evt_23	1	0.3545	0.01418	0.9127
0	20	8	evt_9	1	0.2853	0.01141	0.9413
0	20	9	evt_16	1	0.9185	0.03674	0.8456
0	20	10	evt_14	0	0	0	0.9695
0	20	11	evt_7	0	0	0	0.9862
0	20	12	evt_2	0	0	0	0.9791
0	20	13	evt_6	0	0	0	0.9849
0	20	14	evt_10	0	0	0	0.9807
0	20	15	evt_3	0	0	0	0.9675
0	20	16	evt_19	0	0	0	0.9719
0	20	17	evt_18	0	0	0	0.9772
0	20	18	evt_12	0	0	0	0.9989
0	20	19	evt_8	0	0	0	0.9844
0	20	20	evt_21	0	0	0	0.9538
0	20	21	evt_0	0	0	0	0.9867
0	20	22	evt_13	0	0	0	0.9461
0	20	23	evt_20	0	0	0	0.978
0	21	0	evt_23	1	0.3362	0.01345	0.92
0	21	1	evt_6	0	0	0	0.9736
0	21	2	evt_1	0	0	0	0.9713
0	21	3	evt_7	0	0	0	0.9761
0	21	4	evt_3	1	0.4949	0.0198	0.8558
0	21	5	evt_13	1	0.2721	0.01088	0.9338
0	21	6	evt_9	1	0.4568	0.01827	0.9187
0	21	7	evt_4	1	0.3556	0.01422	0.9211
0	21	8	evt_15	0	0	0	0.9573
0	21	9	evt_17	0	0	0	0.9875
0	21	10	evt_20	1	0.6732	0.02693	0.9019
0	21	11	evt_12	0	0	0	0.9684
0	21	12	evt_0	0	0	0	0.9889
0	21	13	evt_8	0	0	0	0.9865
0	21	14	evt_22	0	0	0	0.9537
0	21	15	evt_10	0	0	0	0.9852
0	21	16	evt_19	0	0	0	0.9774
0	21	17	evt_14	1	0.2746	0.01099	0.9448
0	21	18	evt_18	0	0	0	0.9747
0	21	19	evt_21	0	0	0	0.9618
0	21	20	evt_11	0	0	0	0.9247
